Student ID,Date Completed,Total Number of Questions,Question #1,Response,Question #2,Response,Question #3,Response,Question #4,Response,Question #5,Response,Question #6,Response,Question #7,Response,Question #8,Response,Question #9,Response
NH0000001,"June 11, 2020 13:12",8,How old are you?,12,What is your gender?,Male ,What organization are you from?,Magic Bus,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,secondary (10th grade),Does anyone in your household have any of the following illnesses?,Cancer,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000002,"June 24, 2020 11:21",9,How old are you?,33,What is your gender?,Male ,What organization are you from?,Noora Health,"If you answered the previous question with ""Other"", please write the name of your organization below:",Noora Health,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000003,"June 18, 2020 16:34",8,How old are you?,27,What is your gender?,Female,What organization are you from?,Noora Health,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000004,"June 12, 2020 4:40",8,How old are you?,33,What is your gender?,Male ,What organization are you from?,Noora Health,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,"Hypertension, None",Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000005,"June 10, 2020 7:06",8,How old are you?,cvcgcfhfghgf,What is your gender?,Male ,What organization are you from?,Swadhar,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,Yes,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
NH0000006,"June 10, 2020 3:42",8,How old are you?,I am 42 years old,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000007,"June 10, 2020 5:44",8,How old are you?,34,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Hypertension,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000008,"June 16, 2020 10:57",8,How old are you?,32,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,Diabetes,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000009,"June 13, 2020 16:34",8,How old are you?,28,What is your gender?,Female,What organization are you from?,"Save the Children, Save the Children","If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,No,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,No
NH0000010,"June 12, 2020 10:59",8,How old are you?,31,What is your gender?,Female,What organization are you from?,Save the Children,"If you answered the previous question with ""Other"", please write the name of your organization below:",,What is the highest level of education?,Post-graduation,Does anyone in your household have any of the following illnesses?,None,Do you live with anyone 60 or older?,Yes,Do you have a BPL card?,No,Have community members asked you questions about COVID-19 you have been unable to answer?,Yes
